actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes
Productores de Servicios,N,Servicios sociales y de salud,2012,36922.9481,5568.2006
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2012,20534.8018,4386.9548
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2012,7677.2523,1607.7433
Impuestos,,IVA y otros impuestos a los productos,2012,155458.8152,43270.3611
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2013,63101.8301,18302.2188
Productores de Bienes,B,Pesca y servicios conexos,2013,2077.2585,574.9487
Productores de Bienes,C,Explotación de minas y canteras,2013,1987.4495,525.5578
Productores de Bienes,D,Industria Manufacturera,2013,254064.1497,71442.5220
Productores de Bienes,E,"Electricidad, gas y agua",2013,16235.1217,3770.9019
Productores de Bienes,F,Construcción,2013,54958.2440,8367.7157
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2013,151695.3830,35187.5911
Productores de Servicios,H,Servicios de hotelería y restaurantes,2013,17638.7861,2808.8287
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2013,74731.7025,20947.7618
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2013,22510.1676,4818.5999
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2013,144208.4839,23030.1193
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2013,55775.5078,7550.5336
Productores de Servicios,M,Enseñanza,2013,60584.3366,7910.9773
Productores de Servicios,N,Servicios sociales y de salud,2013,46855.8367,5620.6180
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2013,25745.9747,4372.6463
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2013,10308.8915,1663.1586
Impuestos,,IVA y otros impuestos a los productos,2013,193556.5406,44644.6178
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2014,89840.6386,17724.3055
Productores de Bienes,B,Pesca y servicios conexos,2014,2713.5820,541.2389
Productores de Bienes,C,Explotación de minas y canteras,2014,2546.7406,531.4491
Productores de Bienes,D,Industria Manufacturera,2014,343927.4294,70546.7470
Productores de Bienes,E,"Electricidad, gas y agua",2014,22209.7399,3771.7416
Productores de Bienes,F,Construcción,2014,71268.8959,8302.8601
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2014,206062.5490,33119.2230
Productores de Servicios,H,Servicios de hotelería y restaurantes,2014,23933.3945,2748.4288
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2014,101508.4036,21038.5331
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2014,33523.2440,4792.0816
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2014,194974.0818,23185.8833
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2014,75081.4221,7616.7456
Productores de Servicios,M,Enseñanza,2014,77862.9050,8059.1182
Productores de Servicios,N,Servicios sociales y de salud,2014,66047.1575,5987.8724
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2014,33883.1593,4318.4372
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2014,13667.5145,1687.4841
Impuestos,,IVA y otros impuestos a los productos,2014,267613.0369,42665.0052
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2015,98211.7202,19439.7695
Productores de Bienes,B,Pesca y servicios conexos,2015,3444.7096,554.1591
Productores de Bienes,C,Explotación de minas y canteras,2015,3321.9685,543.7620
Productores de Bienes,D,Industria Manufacturera,2015,413748.8930,67725.5913
Productores de Bienes,E,"Electricidad, gas y agua",2015,25651.4554,3845.2010
Productores de Bienes,F,Construcción,2015,94705.9018,8588.1448
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2015,289321.0234,33669.3362
Productores de Servicios,H,Servicios de hotelería y restaurantes,2015,32558.8288,2799.4110
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2015,129259.1793,21428.6610
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2015,42315.5581,4787.7408
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2015,236678.1233,23361.2540
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2015,109105.1104,7927.8653
Productores de Servicios,M,Enseñanza,2015,105040.7503,8332.3226
Productores de Servicios,N,Servicios sociales y de salud,2015,94453.9176,6284.5832
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2015,46568.4309,4517.7509
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2015,18355.8559,1718.2228
Impuestos,,IVA y otros impuestos a los productos,2015,337807.5542,43493.1507
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2016,170970.8767,20827.2143
Productores de Bienes,B,Pesca y servicios conexos,2016,4778.8576,483.5954
Productores de Bienes,C,Explotación de minas y canteras,2016,4062.0565,544.8935
Productores de Bienes,D,Industria Manufacturera,2016,528418.6254,61267.3756
Productores de Bienes,E,"Electricidad, gas y agua",2016,55913.6494,3865.8932
Productores de Bienes,F,Construcción,2016,114693.6424,7706.6701
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2016,384420.1636,33067.5507
Productores de Servicios,H,Servicios de hotelería y restaurantes,2016,43690.9559,2828.4769
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2016,169497.2934,21408.0950
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2016,70730.0317,4621.3840
